       10000           0       10000          42          42          42          42           0   2.2252498E-08   9.8243166E-01
       20000           0       20000          51          51          51          51           0   6.3569994E-07   1.8089709E+01
       30000           0       30000          58          58          58          58           0   3.5830927E-08   1.6131287E+00
       40000           0       40000          73          73          73          73           0   1.1826921E-07   6.1900337E+00
       50000           0       50000          86          86          86          86           0   1.1024158E-07   5.4487541E+00
       60000           0       60000         108         108         108         108           0   9.2205571E-07   4.2180032E+01
       70000           0       70000         130         130         130         130           0   5.4061156E-07   2.5325601E+01
       80000           0       80000         156         156         156         156           0   3.9800115E-06   2.3465669E+02
       90000           0       90000         192         192         192         192           0   1.1612866E-05   6.8775184E+02
      100000           0      100000         234         234         234         234           0   1.0519706E-05   5.3728897E+02
      110000           0      110000         289         289         289         289           0   7.7015339E-05   5.0525378E+03
      120000           0      120000         348         348         348         341           0   1.5359335E-05   7.8486176E+02
      130000           0      130000         416         416         416         345           0   4.0604257E-04   2.2525044E+04
      140000           0      140000         483         483         470         347           0   1.2558212E-04   6.3543574E+03
      150000           0      150000         564         561         488         365           0   1.5950241E-03   9.2191718E+04
      160000           0      160000         624         549         473         348           0   2.7833349E-03   1.7121928E+05
      170000           0      170000         690         547         476         349           0   1.2272800E-03   6.9258085E+04
      180000           0      180000         779         562         485         358           0   2.1789006E-03   1.3401866E+05
      190000           0      190000         843         557         482         353           0   1.1935269E-03   7.1547649E+04
      200000           0      200000         895         542         462         337           0   4.6082333E-04   2.2891356E+04
      210000           0      210000         981         555         474         353           0   4.6979555E-04   2.6381072E+04
      220000           0      220000        1061         561         487         363           0   5.3436017E-04   2.7259466E+04
      230000           0      230000        1111         550         476         351           0   1.2062953E-03   7.0885880E+04
      240000           0      240000        1179         543         468         343           0   6.1419057E-04   3.5737002E+04
      250000           0      250000        1267         562         488         365           0   1.6087158E-03   9.3960274E+04
      260000           0      260000        1316         557         477         351           0   9.9594530E-04   5.6814334E+04
      270000           0      270000        1374         529         457         334           0   1.1779337E-03   6.9551993E+04
      280000           0      280000        1461         561         486         363           0   5.2361445E-04   2.6649897E+04
      290000           0      290000        1546         571         493         366           0   2.0160107E-03   1.2066002E+05
      300000           0      300000        1595         554         478         353           0   1.0456448E-03   5.9287615E+04
      310000           0      310000        1659         545         466         334           0   4.2420246E-04   2.1969520E+04
      320000           0      320000        1757         572         493         362           0   1.3340790E-03   7.4775541E+04
      330000           0      330000        1824         564         485         357           0   4.7166872E-04   2.2809865E+04
      340000           0      340000        1873         541         462         335           0   6.9854203E-04   3.7959926E+04
      350000           0      350000        1957         553         477         353           0   7.3426902E-04   3.8945304E+04
      360000           0      360000        2039         562         489         360           0   5.1759453E-04   2.6785788E+04
      370000           0      370000        2093         548         474         345           0   1.0516055E-03   5.4235665E+04
      380000           0      380000        2161         556         479         351           0   5.9655555E-04   2.8838668E+04
      390000           0      390000        2244         557         479         353           0   1.7871465E-03   1.0386467E+05
      400000           0      400000        2311         557         479         355           0   7.2636963E-04   3.8317379E+04
      410000           1       10000        2375         548         472         345           0   1.0122928E-03   5.6050195E+04
      420000           1       20000        2441         551         473         349           0   8.8182689E-04   4.8687897E+04
      430000           1       30000        2520         561         489         364           0   1.1620808E-03   6.6204835E+04
      440000           1       40000        2589         554         483         356           0   1.1105462E-03   6.5023724E+04
      450000           1       50000        2654         553         477         352           1   8.0925647E-04   4.2866330E+04
      460000           1       60000        2724         551         473         352           1   2.0699619E-03   1.2510166E+05
      470000           1       70000        2799         559         480         358           2   1.6571009E-03   9.5699259E+04
      450000           2       10000        2655         556         477         352           0   1.3395714E-03   7.2872235E+04
      460000           2       20000        2724         556         477         353           0   9.7075553E-04   5.5640586E+04
      470000           2       30000        2800         556         479         354           0   8.9655819E-04   4.7787040E+04
      480000           2       40000        2859         546         471         349           0   9.8377329E-04   5.0674707E+04
      490000           2       50000        2932         554         479         352           1   1.3115369E-03   7.5750184E+04
      500000           2       60000        3020         572         497         364           1   7.2217455E-04   4.3817702E+04
      510000           2       70000        3085         563         485         353           1   1.2521238E-03   7.1754452E+04
      520000           2       80000        3151         559         478         349           2   1.4079730E-03   7.5735747E+04
      530000           2       90000        3223         553         477         352           2   1.5549448E-03   9.2217157E+04
      540000           2      100000        3292         549         474         352           2   1.3698970E-03   7.3342407E+04
      550000           2      110000        3358         558         483         356           4   6.8711488E-04   3.5522138E+04
      560000           2      120000        3427         549         475         348           4   8.3614891E-04   4.5527487E+04
      570000           2      130000        3506         566         496         362           4   8.4408690E-04   4.5890733E+04
      580000           2      140000        3576         562         485         355           5   7.2069078E-04   4.1638107E+04
      590000           2      150000        3636         547         469         347           2   8.2460724E-04   4.2006171E+04
      600000           2      160000        3714         553         472         353           1   2.7312078E-03   1.7159552E+05
      490000           3       10000        2931         548         476         352           0   6.1139734E-04   3.3460745E+04
      500000           3       20000        3020         572         498         363           0   6.7498497E-04   3.5467621E+04
      510000           3       30000        3084         563         480         350           0   1.0503952E-03   5.7384264E+04
      520000           3       40000        3144         548         466         342           0   1.0967323E-03   6.5222304E+04
      530000           3       50000        3228         559         479         360           1   3.9089125E-04   2.0700031E+04
      540000           3       60000        3294         556         488         355           1   1.0930458E-03   6.4598820E+04
      550000           3       70000        3363         551         475         347           1   1.5927002E-03   9.8392901E+04
      560000           3       80000        3427         551         469         344           2   1.3619394E-03   8.0805040E+04
      530000           4       10000        3229         567         487         363           0   1.0517448E-03   5.8276022E+04
      540000           4       20000        3293         553         478         352           0   9.3543966E-04   5.0333358E+04
      550000           4       30000        3361         548         472         345           0   3.9903147E-04   1.9416189E+04
